authority_id,authority_type,preferred_label_el,preferred_label_en,uri,source_id,review_state
polity-seleykidike-epikyriarchia-ste-dytike-mikra-asia,polity,Σελευκιδική επικυριαρχία στη δυτική Μικρά Ασία,Seleucid rule in western Asia Minor,,src-metmuseum-50fe20dc493f,reviewed
polity-seleykidike-satrapeia-baktrianes,polity,Σελευκιδική σατραπεία Βακτριανής,Seleucid satrapy of Bactria,,src-metmuseum-50fe20dc493f,reviewed
polity-seleykidike-satrapeia-kommagenes,polity,Σελευκιδική σατραπεία Κομμαγηνής,Seleucid satrapy of Commagene,,src-whc-758c2c416617,reviewed
polity-seleykidiko-basileio-kai-anexarteta-mikrasiatika-krate,polity,Σελευκιδικό βασίλειο και ανεξάρτητα μικρασιατικά κράτη,Seleucid kingdom and independent Asia Minor states,,src-pleiades-501458,reviewed
polity-symmachia-ellenikon-poleon-stis-dyo-pleyres-toy-stenoy,polity,Συμμαχία ελληνικών πόλεων στις δύο πλευρές του στενού,Alliance of Greek cities on both sides of the strait,,src-iranicaonline-4a607235e191,reviewed
polity-syrakoysia-pole-ypo-tyrannike-exoysia-toy-agathokle,polity,Συρακούσια πόλη υπό τυραννική εξουσία του Αγαθοκλή,Syracuse city under the tyrannical rule of Agathocles,,src-britishmuseum-073d3f0a8ae4,reviewed
polity-thrakike-satrapeia-tes-aytokratorias-toy-alexandroy,polity,Θρακική σατραπεία της αυτοκρατορίας του Αλεξάνδρου,Thracian satrapy of Alexander's empire,,src-pleiades-501458,reviewed
polity-topikes-bithynikes-egemonies,polity,Τοπικές βιθυνικές ηγεμονίες,Local Bithynian hegemonies,,src-attalus-1b40f4436114,reviewed
polity-ystera-periphereiaka-indoellenika-basileia,polity,Ύστερα περιφερειακά ινδοελληνικά βασίλεια,Later regional Indo-Greek kingdoms,,src-iranicaonline-612dff96c99c,reviewed
polity-ystere-epoche-toy-chalkoy-kai-proime-politeiake-sygkrotese-tes-palaipaphoy,polity,Ύστερη εποχή του Χαλκού και πρώιμη πολιτειακή συγκρότηση της Παλαίπαφου,Late Bronze Age and early state formation of Palaipafos,,src-websites-d5246844b076,reviewed
polity-ystere-epoche-toy-chalkoy-sten-egkome-kai-proimes-kypriakes-egemonies,polity,Ύστερη εποχή του Χαλκού στην Έγκωμη και πρώιμες κυπριακές ηγεμονίες,Late Bronze Age in Engomi and early Cypriot hegemonies,,src-uni-muenster-0a0030be4d2a,reviewed
polity-ystero-pelateiako-basileio-tes-kappadokias,polity,Ύστερο πελατειακό βασίλειο της Καππαδοκίας,Late Client Kingdom of Cappadocia,,src-iranicaonline-0624b0b64cf3,reviewed
region-achaia,ancient_region,Αχαΐα,Achaea,,src-pleiades-570567,reviewed
region-aigina,ancient_region,Αίγινα,Aegina,,src-pleiades-579872,reviewed
region-aigyptos,ancient_region,Αίγυπτος,Egypt,,src-pleiades-727070,reviewed
region-aigyptos-kai-anatolike-mesogeios,ancient_region,Αίγυπτος και ανατολική Μεσόγειος,Egypt and the eastern Mediterranean,,src-metmuseum-9200258a95cb,reviewed
region-aiolida,ancient_region,Αιολίδα,Aeolis,,src-pleiades-550506,reviewed
region-aitolia,ancient_region,Αιτωλία,Aetolia,,src-pleiades-728329645,reviewed
region-argolida,ancient_region,Αργολίδα,Argolis,,src-pleiades-570106,reviewed
region-arkadia,ancient_region,Αρκαδία,Arcadia,,src-pleiades-570459,reviewed
region-attike,ancient_region,Αττική,Attica,,src-pleiades-579885,reviewed
region-baktriane,ancient_region,Βακτριανή,Bactria,,src-metmuseum-50fe20dc493f,reviewed
region-bithynia,ancient_region,Βιθυνία,Bithynia,,src-attalus-1b40f4436114,reviewed
region-bithynia-bosporos,ancient_region,Βιθυνία / Βόσπορος,Bithynia / Bosporus,,src-pleiades-520988,reviewed
region-bithynia-pontos,ancient_region,Βιθυνία / Πόντος,Bithynia / Pontus,,src-pleiades-844944,reviewed
region-boiotia,ancient_region,Βοιωτία,Boeotia,,src-pleiades-541138,reviewed
region-boreio-aigaio,ancient_region,Βόρειο Αιγαίο,Northern Aegean,,src-pleiades-550604,reviewed
region-brettia,ancient_region,Βρεττία,Bruttium,,src-pleiades-452332,reviewed
region-chalkidike,ancient_region,Χαλκιδική,Chalcidice,,src-pleiades-491678,reviewed
region-dalmatia,ancient_region,Δαλματία,Dalmatia,,src-armus-4dde844bac8f,reviewed
region-delta-neiloy,ancient_region,Δέλτα Νείλου,Nile Delta,,src-pleiades-727169,reviewed
region-dodekanesa,ancient_region,Δωδεκάνησα,Dodecanese,,src-pleiades-599528,reviewed
region-elida,ancient_region,Ήλιδα,Elis,,src-pleiades-570531,reviewed
region-epeiros,ancient_region,Ήπειρος,Epirus,,src-pleiades-530794,reviewed
region-epeiros-ionio,ancient_region,Ήπειρος / Ιόνιο,Epirus / Ionian Sea,,src-pleiades-530834,reviewed
region-eyboia,ancient_region,Εύβοια,Euboea,,src-pleiades-579925,reviewed
region-galatia-probegkia,ancient_region,Γαλατία / Προβηγκία,Gaul / Provence,,src-pleiades-148127,reviewed
region-gandara-kai-boreiodytike-india,ancient_region,Γανδάρα και βορειοδυτική Ινδία,Gandhara and northwestern India,,src-iranicaonline-612dff96c99c,reviewed
region-gandara-kai-pantzamp,ancient_region,Γανδάρα και Παντζάμπ,Gandhara and Punjab,,src-iranicaonline-612dff96c99c,reviewed
region-gandara-paropamisades-kai-pantzamp,ancient_region,"Γανδάρα, Παροπαμισάδες και Παντζάμπ","Gandhara, Paropamisadae and Punjab",,src-iranicaonline-612dff96c99c,reviewed
region-iberia-katalonia,ancient_region,Ιβηρία / Καταλονία,Iberia / Catalonia,,src-pleiades-246382,reviewed
region-illyria,ancient_region,Ιλλυρία,Illyria,,src-pleiades-481728,reviewed
region-ionia,ancient_region,Ιωνία,Ionia,,src-pleiades-550893,reviewed
region-ionia-chios,ancient_region,Ιωνία / Χίος,Ionia / Chios,,src-pleiades-550496,reviewed
region-ionia-karia,ancient_region,Ιωνία / Καρία,Ionia / Caria,,src-pleiades-599778,reviewed
region-ionia-samos,ancient_region,Ιωνία / Σάμος,Ionia / Samos,,src-pleiades-599925,reviewed
region-kappadokia,ancient_region,Καππαδοκία,Cappadocia,,src-iranicaonline-0624b0b64cf3,reviewed
region-karia,ancient_region,Καρία,Caria,,src-pleiades-599636,reviewed
region-kimmerios-bosporos,ancient_region,Κιμμέριος Βόσπορος,Cimmerian Bosporus,,src-pleiades-854719,reviewed
region-kolchida,ancient_region,Κολχίδα,Colchis,,src-pleiades-857107,reviewed
region-kommagene,ancient_region,Κομμαγηνή,Commagene,,src-whc-758c2c416617,reviewed
region-korinthia,ancient_region,Κορινθία,Corinthia,,src-pleiades-570182,reviewed
region-kos-dodekanesa,ancient_region,Κως / Δωδεκάνησα,Kos / Dodecanese,,src-pleiades-599728,reviewed
region-krete,ancient_region,Κρήτη,Crete,,src-pleiades-589796,reviewed
region-kyklades,ancient_region,Κυκλάδες,Cyclades,,src-pleiades-599971,reviewed
region-kypros,ancient_region,Κύπρος,Cyprus,,src-websites-d5246844b076,reviewed
region-kyrenaike,ancient_region,Κυρηναϊκή,Cyrenaica,,src-pleiades-373879,reviewed
region-lakonia,ancient_region,Λακωνία,Laconia,,src-pleiades-570685,reviewed
region-lesbos-aiolida,ancient_region,Λέσβος / Αιολίδα,Lesbos / Aeolis,,src-pleiades-550763,reviewed
region-leykania,ancient_region,Λευκανία,Lucania,,src-pleiades-442610,reviewed
region-libyke-eremos,ancient_region,Λιβυκή Έρημος,Libyan Desert,,src-pleiades-716520,reviewed
region-lydia,ancient_region,Λυδία,Lydia,,src-pleiades-66376536,reviewed
region-lykia,ancient_region,Λυκία,Lycia,,src-pleiades-638958,reviewed
region-lykia-pamphylia,ancient_region,Λυκία / Παμφυλία,Lycia / Pamphylia,,src-pleiades-639051,reviewed
region-magnesia,ancient_region,Μαγνησία,Magnesia,,src-pleiades-540730,reviewed
region-maiotida,ancient_region,Μαιώτιδα,Maeotis,,src-pleiades-825397,reviewed
region-makedonia,ancient_region,Μακεδονία,Macedonia,,src-pleiades-491512,reviewed
region-makedonia-aigyptos-kai-asia,ancient_region,"Μακεδονία, Αίγυπτος και Ασία","Macedonia, Egypt and Asia",,src-metmuseum-89019924e8c3,reviewed
region-makedonia-edonida,ancient_region,Μακεδονία / Ηδωνίδα,Macedonia / Edonis,,src-pleiades-501347,reviewed
region-makedonia-thrake,ancient_region,Μακεδονία / Θράκη,Macedonia / Thrace,,src-pleiades-501482,reviewed
region-megale-ellada-apoylia,ancient_region,Μεγάλη Ελλάδα / Απουλία,Magna Graecia / Apulia,,src-pleiades-442810,reviewed
region-megale-ellada-brettia,ancient_region,Μεγάλη Ελλάδα / Βρεττία,Magna Graecia / Bruttium,,src-pleiades-452317,reviewed
region-megale-ellada-kampania,ancient_region,Μεγάλη Ελλάδα / Καμπανία,Magna Graecia / Campania,,src-pleiades-432808,reviewed
region-megale-ellada-leykania,ancient_region,Μεγάλη Ελλάδα / Λευκανία,Magna Graecia / Lucania,,src-pleiades-452488,reviewed
region-megarida,ancient_region,Μεγαρίδα,Megaris,,src-pleiades-570468,reviewed
region-messenia,ancient_region,Μεσσηνία,Messenia,,src-pleiades-570479,reviewed
region-mysia,ancient_region,Μυσία,Mysia,,src-pleiades-550812,reviewed
region-mysia-kai-dytike-mikra-asia,ancient_region,Μυσία και δυτική Μικρά Ασία,Mysia and western Asia Minor,,src-metmuseum-50fe20dc493f,reviewed
region-mysia-propontida,ancient_region,Μυσία / Προποντίδα,Mysia / Propontis,,src-pleiades-511218,reviewed
region-oria-attikes-boiotias,ancient_region,Όρια Αττικής / Βοιωτίας,Attica–Boeotia borderlands,,src-pleiades-540628,reviewed
region-paphlagonia-pontos,ancient_region,Παφλαγονία / Πόντος,Paphlagonia / Pontus,,src-pleiades-857321,reviewed
region-phokida,ancient_region,Φωκίδα,Phocis,,src-pleiades-955675680,reviewed
region-phrygia,ancient_region,Φρυγία,Phrygia,,src-pleiades-232079424,reviewed
region-pikeno,ancient_region,Πικηνό,Picenum,,src-pleiades-413014,reviewed
region-pontos,ancient_region,Πόντος,Pontus,,src-pleiades-857024,reviewed
region-rodos,ancient_region,Ρόδος,Rhodes,,src-pleiades-414067217,reviewed
region-rodos-dodekanesa,ancient_region,Ρόδος / Δωδεκάνησα,Rhodes / Dodecanese,,src-pleiades-589913,reviewed
region-saronikos,ancient_region,Σαρωνικός,Saronic Gulf,,src-pleiades-579853,reviewed
region-sikelia,ancient_region,Σικελία,Sicily,,src-pleiades-462086,reviewed
region-skythia,ancient_region,Σκυθία,Scythia,,src-penn-a97aa05ea214,reviewed
region-skythia-dneisteros,ancient_region,Σκυθία / Δνείστερος,Scythia / Dniester,,src-pleiades-226800,reviewed
region-skythia-kato-ypanis,ancient_region,Σκυθία / Κάτω Ύπανις,Scythia / lower Hypanis,,src-pleiades-226546,reviewed
region-skythia-mikra,ancient_region,Σκυθία Μικρά,Scythia Minor,,src-pleiades-216839,reviewed
region-syria-mesopotamia-kai-asia,ancient_region,"Συρία, Μεσοποταμία και Ασία","Syria, Mesopotamia and Asia",,src-metmuseum-31540f5687cf,reviewed
region-syria-seleykida,ancient_region,Συρία / Σελευκίδα,Syria / Seleucis,,src-pleiades-658381,reviewed
region-tayrike,ancient_region,Ταυρική,Taurica,,src-pleiades-854743,reviewed
region-thessalia,ancient_region,Θεσσαλία,Thessaly,,src-pleiades-540905,reviewed
region-thrake,ancient_region,Θράκη,Thrace,,src-pleiades-216706,reviewed
region-thrake-bosporos,ancient_region,Θράκη / Βόσπορος,Thrace / Bosporus,,src-pleiades-520985,reviewed
region-thrake-eyxeinos-pontos,ancient_region,Θράκη / Εύξεινος Πόντος,Thrace / Black Sea,,src-pleiades-216706,reviewed
region-thrake-kai-dytike-mikra-asia,ancient_region,Θράκη και δυτική Μικρά Ασία,Thrace and western Asia Minor,,src-pleiades-501458,reviewed
region-troada,ancient_region,Τρωάδα,Troad,,src-pleiades-550463,reviewed
region-troada-ellespontos,ancient_region,Τρωάδα / Ελλήσποντος,Troad / Hellespont,,src-pleiades-501325,reviewed
settlement-achaia,settlement,Αχαΐα,Achaia,,src-pleiades-452317,reviewed
settlement-akropole-athenon,settlement,Ακρόπολη Αθηνών,Acropolis of Athens,,src-whc-228f1be9c035,reviewed
settlement-anaktoro-knosoy,settlement,Ανάκτορο Κνωσού,Palace of Knossos,,src-odysseus-9e3ae0cba911,reviewed
settlement-anaktoro-toy-nestora-ano-egklianos,settlement,"Ανάκτορο του Νέστορα, Άνω Εγκλιανός","Palace of Nestor, Ano Eglianos",,src-odysseus-00e2d87ae4a8,reviewed
settlement-argos-paradose,settlement,Άργος (παράδοση),Argos (tradition),,src-pleiades-599664,reviewed
settlement-athena-ionike-paradose,settlement,Αθήνα (ιωνική παράδοση),Athens (Ionic tradition),,src-pleiades-599612,reviewed
settlement-athena-kai-boiotia-paradose,settlement,Αθήνα και Βοιωτία (παράδοση),Athens and Boeotia (tradition),,src-pleiades-550913,reviewed
settlement-athena-kai-theba-paradose,settlement,Αθήνα και Θήβα (παράδοση),Athens and Thebes (tradition),,src-pleiades-599905,reviewed
settlement-babylona,settlement,Βαβυλώνα,Babylon,,src-metmuseum-89019924e8c3,reviewed
settlement-baktra,settlement,Βάκτρα,Bactra,,src-metmuseum-50fe20dc493f,reviewed
settlement-chalkida-kai-eretria,settlement,Χαλκίδα και Ερέτρια,Chalkida and Eretria,,src-pleiades-432808,reviewed
settlement-chalkida-kai-kyme,settlement,Χαλκίδα και Κύμη,Chalkida and Kymi,,src-pleiades-462538,reviewed
settlement-dimeni,settlement,Διμήνι,Dimini,,src-odysseus-589898851f92,reviewed
settlement-dodone,settlement,Δωδώνη,Dodona,,src-cambridge-96106a304cc6,reviewed
settlement-kadmeia-theba,settlement,"Καδμεία, Θήβα","Cadmeia, Thebes",,src-mthv-715d665b63b5,reviewed
settlement-kerkyra-kai-korinthos,settlement,Κέρκυρα και Κόρινθος,Corfu and Corinth,,src-pleiades-481818,reviewed
settlement-korinthos-kai-kerkyra,settlement,Κόρινθος και Κέρκυρα,Corinth and Corfu,,src-pleiades-481728,reviewed
settlement-krete-kai-athena-paradose,settlement,Κρήτη και Αθήνα (παράδοση),Crete and Athens (tradition),,src-pleiades-550535,reviewed
settlement-kyme-aiolike-paradose,settlement,Κύμη (αιολική παράδοση),Cyme (Aeolian tradition),,src-pleiades-550756,reviewed
settlement-lokrida,settlement,Λοκρίδα,Locride,,src-pleiades-452369,reviewed
settlement-lokrida-kai-thessalia-aiolike-paradose,settlement,Λοκρίδα και Θεσσαλία (αιολική παράδοση),Locris and Thessaly (Aeolian tradition),,src-pleiades-550506,reviewed
settlement-lysimacheia,settlement,Λυσιμάχεια,Lysimachia,,src-pleiades-501458,reviewed
settlement-magnesia-thessalias,settlement,Μαγνησία Θεσσαλίας,Magnesia in Thessaly,,src-pleiades-599778,reviewed
settlement-mazaka,settlement,Μάζακα,Mazaca,,src-iranicaonline-0624b0b64cf3,reviewed
settlement-megara-kai-chalkedona,settlement,Μέγαρα και Χαλκηδόνα,Megara and Chalcedon,,src-pleiades-216882,reviewed
settlement-megara-kai-tanagra,settlement,Μέγαρα και Τανάγρα,Megara and Tanagra,,src-pleiades-844944,reviewed
settlement-methymna,settlement,Μήθυμνα,Methymna,,src-pleiades-550463,reviewed
settlement-miletos-kai-alles-ellenikes-poleis,settlement,Μίλητος και άλλες ελληνικές πόλεις,Miletus and other Greek cities,,src-pleiades-727169,reviewed
settlement-miletos-paradose,settlement,Μίλητος (παράδοση),Miletus (tradition),,src-pleiades-857107,reviewed
settlement-mykenes,settlement,Μυκήνες,Mycenae,,src-whc-6306f630553d,reviewed
settlement-nikomedeia,settlement,Νικομήδεια,Nicomedia,,src-attalus-1b40f4436114,reviewed
settlement-orchomenos-boiotias,settlement,Ορχομενός Βοιωτίας,Orchomenos of Boeotia,,src-mthv-715d665b63b5,reviewed
settlement-palaipaphos-koyklia,settlement,"Παλαίπαφος, Κούκλια",Palaepaphos (Kouklia),,src-websites-d5246844b076,reviewed
settlement-pantikapaio-bosporos,settlement,Παντικάπαιο / Βόσπορος,Panticapaeum / Bosporus,,src-pleiades-825397,reviewed
settlement-pantikapaion-kerts,settlement,"Παντικάπαιον, Κερτς","Pantikapaion, Kerch",,src-iranicaonline-4a607235e191,reviewed
settlement-paros,settlement,Πάρος,Paros,,src-pleiades-197433,reviewed
settlement-phokida-kai-athena-paradose,settlement,Φωκίδα και Αθήνα (παράδοση),Phocis and Athens (tradition),,src-pleiades-550823,reviewed
settlement-rodos-kai-krete,settlement,Ρόδος και Κρήτη,Rhodes and Crete,,src-pleiades-462214,reviewed
settlement-rodos-lindos,settlement,Ρόδος (Λίνδος),Rhodes (Lindos),,src-pleiades-639051,reviewed
settlement-sagala,settlement,Σάγαλα,Sagala,,src-iranicaonline-612dff96c99c,reviewed
settlement-salamina-kyproy,settlement,Σαλαμίνα Κύπρου,"Salamis, Cyprus",,src-uni-muenster-0a0030be4d2a,reviewed
settlement-samosata,settlement,Σαμόσατα,Samosata,,src-whc-758c2c416617,reviewed
settlement-taxila,settlement,Τάξιλα,Taxila,,src-iranicaonline-612dff96c99c,reviewed
settlement-thasos,settlement,Θάσος,Thassos,,src-pleiades-501482,reviewed
settlement-tiryntha,settlement,Τίρυνθα,Tiryns,,src-whc-6306f630553d,reviewed
settlement-troizena,settlement,Τροιζήνα,Troezen,,src-pleiades-599636,reviewed
